City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Khani,GE,41.9563,42.9566,67.57,72,16,4.7,few clouds
329,Huilong,CN,31.8111,121.655,80.92,95,98,11.18,overcast clouds
330,Lydenburg,ZA,-25.0978,30.4597,59.4,43,0,2.8,clear sky
331,Porangatu,BR,-13.4408,-49.1486,86.77,23,8,9.82,clear sky
332,Bosaso,SO,11.2842,49.1816,92.01,44,50,5.95,scattered clouds
333,Edgewater,US,28.9889,-80.9023,91.09,65,34,1.97,scattered clouds
334,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,71,75,13.8,broken clouds
335,Marienburg,PL,54.0359,19.0266,79.88,94,71,15.05,broken clouds
336,Ishigaki,JP,24.3448,124.1572,82.53,94,100,9.22,moderate rain
337,Gizo,SB,-8.103,156.8419,81.93,76,27,5.14,scattered clouds
338,Karwar,IN,14.8,74.1333,77.41,89,100,14.65,overcast clouds
339,Emerald,AU,-23.5333,148.1667,48.34,93,100,5.21,overcast clouds
340,Rorvik,NO,64.8621,11.2373,56.03,87,91,19.1,overcast clouds
341,Hofn,IS,64.2539,-15.2082,59.02,44,0,20.71,clear sky
342,Kirakira,SB,-10.4544,161.9205,81.37,81,17,14.54,few clouds
343,Tonj,SS,7.2737,28.6822,82.89,63,100,1.95,overcast clouds
344,Shumskiy,RU,54.8318,99.1328,55.74,82,100,2.39,overcast clouds
345,Zhigansk,RU,66.7697,123.3711,66.06,50,99,15.48,overcast clouds
346,Batagay-Alyta,RU,67.8006,130.4114,66.29,55,100,20.76,overcast clouds
347,Cocobeach,GA,1.0002,9.5823,78.28,76,90,9.33,overcast clouds
348,Ilulissat,GL,69.2167,-51.1,51.82,58,0,5.75,clear sky
